location,lat,lon,predicted_yield_tph,predicted_irrigation_need,predicted_irrigation_need_probs,predicted_disease_risk,ndvi,evi,soil_moisture,weather_temp,weather_humidity,pressure,wind_speed,wind_deg
Sirsa,29.5333,75.0167,11.943067925590514,1,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.54869966965684958""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.45130033034315042""
  }]
}",0.4669233015622215,0.12305187423780596,0.12597937578008328,0.28599395751953127,34.26,42,1000,4.92,194
Fatehabad,29.5167,75.45,10.808580903204529,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.070367238415586938""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9296327615844131""
  }]
}",0.37807253978247224,0.075975368212934088,0.077783012514440669,0.30476930406358504,30.7,58,1000,5.3,154
Bathinda,30.2,74.95,10.066080615521864,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.20928219722031358""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.7907178027796864""
  }]
}",0.38501049408630544,0.051863534043540716,0.077230279125794069,0.27120911280314125,30.94,54,1000,3.12,138
Moga,30.8,75.1667,10.647814374065911,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.02528210809616863""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9747178919038314""
  }]
}",0.30905953559395866,0.17259068677227155,0.17238433019482788,0.2803098996480306,28.5,66,1000,3.69,140
Hisar,29.1667,75.7167,11.097702107585135,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.01224016834847245""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.98775983165152759""
  }]
}",0.30654951589213891,0.1424388043327878,0.15935787463890294,0.30731005138821071,29.22,67,1001,5.09,130
Ludhiana,30.9,75.85,10.358755263249568,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0038659391022191378""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99613406089778089""
  }]
}",0.24823459200114961,0.12796934466908622,0.11712722465622023,0.31021699905395506,27.6,77,1001,4.51,134
Sangrur,30.2333,75.8333,11.097104055787351,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.015044200345410862""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.98495579965458913""
  }]
}",0.28956902925224609,0.15023997158456567,0.15761350496591003,0.32679856618245445,28.89,69,1001,3.28,130
Azamgarh,26.06,83.1861,10.830707302025107,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.003960364697002605""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99603963530299744""
  }]
}",0.2031866935809864,0.14464693089876643,0.159048232067137,0.32146475050184464,28.0,83,1002,2.42,166
Purnia,25.7833,87.4667,13.274383337873957,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.022770048268463985""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.977229951731536""
  }]
}",0.20768187246725178,0.28929100763320653,0.33480603567129996,0.37985139422946507,28.16,77,1002,1.71,340
Sitapur,27.5667,80.6833,9.6632797631352609,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00087520081049779531""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99912479918950226""
  }]
}",0.17202418446712014,0.12337971781722099,0.14408248965479625,0.29665215810139972,26.25,92,1002,1.97,14
Karnal,29.6833,76.9833,9.4701081792776058,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0062618237257539523""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9937381762742461""
  }]
}",0.20373580867505656,0.05665314897616372,0.066757112952426589,0.31519748899671768,27.03,82,1002,2.21,140
Bankura,23.25,87.0667,14.096003097227062,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.013855482974834327""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9861445170251657""
  }]
}",0.24609580321692709,0.40127569990890755,0.40880869057611458,0.37095192803276911,28.52,76,1002,2.98,183
Gaya,24.7833,85.0,11.107980317456004,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.043553889894634219""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.95644611010536573""
  }]
}",0.25956466029598091,0.14157251235715329,0.14955841668981534,0.34304891162448459,29.07,70,1002,0.89,181
Murshidabad,24.1833,88.2667,14.082132786269028,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0026360559014623392""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99736394409853768""
  }]
}",0.19936831317320788,0.36510689560049464,0.42662349454038012,0.39040959676106773,27.75,86,1002,2.73,188
Delhi,28.6667,77.2167,12.193991228329093,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.021408064954763488""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.97859193504523656""
  }]
}",0.25682012767198631,0.32166532782771462,0.36043261770303059,0.27682503594292535,28.19,70,1002,3.96,165
Kurukshetra,29.9694,76.8483,10.360856898879662,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00096896610780085812""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99903103389219916""
  }]
}",0.16808661010066883,0.1621344594706953,0.1770705336052972,0.31768350601196288,26.09,89,1002,2.95,110
Malda,25.0057,88.1398,12.36272299508737,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.018835111161577735""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.98116488883842223""
  }]
}",0.21753926789603859,0.18982388551642085,0.19423309434241953,0.3902626143561469,28.85,81,1002,1.32,269
Alwar,27.5667,76.6,10.866631733927552,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.023612868320080624""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.97638713167991942""
  }]
}",0.25441166834844264,0.15966178801079706,0.15928314769009377,0.335463809967041,28.76,72,1002,0.42,111
Leh,34.1667,77.5833,4.2261431743684916,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.2244073511424387""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.7755926488575613""
  }]
}",0.25501440005071191,0.19890046961513161,0.19295997619628907,0.13843488693237305,20.27,38,1002,2.36,344
Patiala,30.3267,76.4003,10.103215840128923,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0015008112672406915""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99849918873275934""
  }]
}",0.19797480491637104,0.10422683628353377,0.1102287933997983,0.32254106733534071,26.76,85,1002,4.15,117
Dhubri,26.0333,89.9667,9.79404932951652,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.006340989441277727""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9936590105587223""
  }]
}",0.19826187323090627,0.018056430687586344,0.02024734412485869,0.34793331358167862,27.03,89,1002,3.63,182
Barpeta,26.3167,91.0,14.440879291641615,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0027576583950002778""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99724234160499969""
  }]
}",0.15959052074383134,0.42677638557615755,0.4445310456764115,0.39572929806179469,27.16,87,1002,1.85,294
Barabanki,26.9274,81.1948,9.6611491687793585,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00047640043325028681""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99952359956674974""
  }]
}",0.16031806472810994,0.11527514997739555,0.12182283288833669,0.30062410566541886,26.26,94,1002,2.68,37
Haridwar,29.9667,78.1667,11.162900007205922,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0003504823753306079""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99964951762466936""
  }]
}",0.097907623702973248,0.34612547261699911,0.3407934986811747,0.3247603310479058,23.93,96,1003,0.56,30
Nagaon,26.3482,92.6858,12.101552928254868,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.000858520531008925""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99914147946899112""
  }]
}",0.14268458752818847,0.13693272361776643,0.12471496296441979,0.46906194686889646,26.73,91,1003,0.97,178
Golaghat,26.5167,93.9667,14.361159370595672,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00027759868237274348""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99972240131762724""
  }]
}",0.06851651405754039,0.40854391067121504,0.37322045314198571,0.46809462441338434,25.53,96,1003,0.54,324
Madhubani,26.3667,86.0833,13.50160111498672,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.015854031667170733""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9841459683328293""
  }]
}",0.1613544985831723,0.39596619272701966,0.45862855264255165,0.31691153844197589,28.24,79,1003,1.15,358
Bilaspur,22.0833,82.15,11.36110115090792,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.021962188181781063""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.97803781181821892""
  }]
}",0.20118666575307842,0.17731958842072276,0.18469798723441361,0.36564814249674477,27.51,73,1003,1.85,290
puri,19.8,85.85,10.521988888414423,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00204013283657373""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99795986716342622""
  }]
}",0.18219655195668927,,,,28.87,84,1003,3.84,228
Bargarh,21.3333,83.6167,13.23588477724382,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00694099780759789""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99305900219240206""
  }]
}",0.21090807721910218,0.2707297737397264,0.28621201888344044,0.44750941594441734,27.29,71,1003,1.58,221
Dimapur,25.9,93.7333,13.614010233306235,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""9.4495340105927886e-05""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.999905504659894""
  }]
}",0.10856500480458815,0.3892106144955555,0.34444625835562231,0.47230446073744031,24.88,98,1003,0.52,30
Rohtas,24.6343,83.964,11.904534407584526,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.024814491599426794""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.97518550840057316""
  }]
}",0.21183825028444389,0.25837203197451819,0.23756011143337905,0.33988030751546222,27.94,73,1003,2.02,231
bhubaneswar,20.2333,85.8333,10.107320832832514,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.003266519347992625""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.9967334806520074""
  }]
}",0.1667707578695036,,,,28.17,83,1003,1.8,218
Bijnor,29.3667,78.1333,9.5722255672341632,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0012785740289583082""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99872142597104174""
  }]
}",0.12164617443072592,0.0968566355942098,0.10769494035169605,0.32768243153889975,25.45,94,1003,1.54,141
Simdega,22.6167,84.5167,12.436772912506978,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.012293121664042568""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.98770687833595738""
  }]
}",0.14543317919123608,0.36313650941435943,0.34384408493142721,0.36742582321166994,25.6,77,1004,1.45,273
Khammam,17.25,80.15,11.139257350711752,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0019923325170582823""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99800766748294167""
  }]
}",0.11001589741204428,0.25291831801876635,0.25463571088701742,0.30892051060994469,26.36,84,1004,3.33,318
Dhamtari,20.7072,81.5497,11.858905342454088,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0026338379588779089""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.997366162041122""
  }]
}",0.11851891320928783,0.33480392208781917,0.35768527547975337,0.33428671095106338,25.2,84,1004,2.55,241
Jabalpur,23.167,79.9501,11.6485316892589,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00014892399493794943""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99985107600506207""
  }]
}",0.063999443181675525,0.23019244211302864,0.23444658102102467,0.42349891662597655,24.46,92,1004,2.01,270
Udhampur,32.9333,75.1333,11.133345963517179,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00026042301243936461""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99973957698756066""
  }]
}",0.10318766488234657,0.32586113576419962,0.29739037688310449,0.34189282523261177,24.86,89,1004,1.59,94
Guntur,16.3,80.45,11.614327670768887,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0038098823338766205""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99619011766612342""
  }]
}",0.19087953822665749,0.16109269907011733,0.17765642753811775,0.3552724414401584,28.79,70,1004,4.39,299
